,Word,TF-IDF_Score
0,underdramatic,0.004851032
1,hyperhysteria,0.004851032
2,verbolect,0.0104154925
3,fluffypoos,0.0052754973
4,shaggydoodles,0.0052754973
5,presenence,0.00543417
6,initiativeson,0.0
7,immunostained,0.0056282475
8,sadaesasang,0.023418684999999998
9,gormagander,0.005396773099999999
10,decloak,0.005396773099999999
11,offcumdens,0.00491663
12,rightaholic,0.005498862499999999
13,gothicky,0.005304784999999999
14,individualmandate,0.0
15,biopharmacy,0.005498862499999999
16,yemul,0.00569294
17,agreementsm,0.0
18,postmassacre,0.0042697049999999995
19,besatzungskinder,0.0053694775
20,grammairiens,0.006670169
21,grammairiennes,0.006670169
22,pointant,0.007245559999999999
23,casseroling,0.0070514825
24,beachfuls,0.005046015
25,onrolling,0.0055635549999999995
26,domesticairlines,0.0
27,funreach,0.0057606005
28,hydrorobot,0.0057606005
29,obsessable,0.00569294
30,poliphical,0.00543417
31,humorize,0.0074396374999999995
32,twimbos,0.006670169
33,twimbo,0.006670169
34,shibazakura,0.00491663
35,fluoroscent,0.0
36,daintified,0.0074396374999999995
37,glyptician,0.0152201129
38,glypticians,0.0304402258
39,rraaahwr,0.0092510275
40,quintoniles,0.00465786
41,webstreamed,0.00646925
42,demeatballization,0.004528475
43,frowziest,0.004787245
44,chargaes,0.0
45,hareeseh,0.00646925
46,ethnofictions,0.009338236599999999
47,wiggiest,0.0046691182999999995
48,pizzaless,0.007116175
49,respondss,0.0052400925
50,princessification,0.0043343975
51,tasawwuf,0.0051107075
52,polyfluoroalkyl,0.004463782499999999
53,foofier,0.0045931675
54,iyya,0.0
55,foresisters,0.00491663
56,reviewier,0.00569294
57,unsucculent,0.0041840151
58,masculennial,0.0041840151
59,chhattu,0.004463782499999999
60,teratoid,0.0053694775
61,gawwwleee,0.005046015
62,archconspiracist,0.0070514825
63,cellarium,0.0061457874999999995
64,independantists,0.0051107075
65,tareferos,0.0074396374999999995
66,pastelada,0.005154221499999999
67,pasteladas,0.005154221499999999
68,kwaussie,0.0051107075
69,grangelands,0.00491663
70,ingrownness,0.0053694775
71,restranscription,0.0
72,relationshipper,0.007116175
73,pseudophilanthropy,0.0049813225
74,strucutural,0.0
75,tumpety,0.0100658914
76,polyphloisboio,0.0050329457
77,tawazun,0.0067280199999999995
78,animalerie,0.0043320749999999995
79,enfreint,0.0043320749999999995
80,utilisant,0.0043320749999999995
81,hyvää,0.0043659288
82,itsenäisyyspäivää,0.0043659288
83,soumets,0.006180427
84,inducas,0.0
85,tentationem,0.0
86,realigner,0.0043990900000000005
87,hotwords,0.006663327500000001
88,kashaveynu,0.0073102524999999995
89,bodyhacking,0.0051754
90,instapays,0.0
91,yahoud,0.004787245
92,powermodels,0.004851032
93,superspawn,0.004851032
94,sefforts,0.0
95,unholiday,0.004528475
96,bridesmates,0.004787245
97,uncomedic,0.005498862499999999
98,enmeshments,0.0051107075
99,empust,0.006081095
100,regramming,0.006663327500000001
101,arrhythmical,0.00569294
102,hissssssss,0.006663327500000001
103,withbroad,0.0
104,donabes,0.005498862499999999
